Time Serie,AUSTRALIAN DOLLAR/US$,EURO/US$,NEW ZELAND DOLLAR/US$,UK POUND/US$,BRAZIL REAL/US$,CANADIAN DOLLAR/US$,CHINA YUAN/US$,KOREA WON/US$,JAPAN YEN/US$
2015-01-02,1.2318,0.8323,1.2968,0.651,2.6967,1.1725,6.2046,1103.73,120.2
2015-01-05,1.2353,0.8391,1.2984,0.6564,2.7284,1.1785,6.2201,1109.07,119.64
2015-01-06,1.2318,0.8378,1.2812,0.659,2.7013,1.1802,6.2125,1098.14,118.26
2015-01-07,1.2424,0.846,1.2942,0.6634,2.7,1.1851,6.2127,1101.51,119.52
2015-01-08,1.2306,0.8467,1.2778,0.6615,2.6635,1.1812,6.2143,1096.19,119.51
2015-01-09,1.2209,0.8453,1.2768,0.66,2.6375,1.1857,6.2085,1086.14,118.66
2015-01-12,1.2247,0.8452,1.286,0.6593,2.6673,1.1929,6.2027,1083.25,118.32
2015-01-13,1.2249,0.849,1.2933,0.6594,2.6366,1.1947,6.197,1080.42,118.16
2015-01-14,1.225,0.847,1.291,0.6564,2.6145,1.1957,6.1957,1080.45,116.78
2015-01-15,1.2177,0.8622,1.2835,0.6596,2.6324,1.1932,6.187,1077.94,116.95
2015-01-16,1.2204,0.8683,1.2857,0.6609,2.6225,1.1986,6.2065,1076.68,117.45
2015-01-19,ND,ND,ND,ND,ND,ND,ND,ND,ND
2015-01-20,1.2229,0.8651,1.2999,0.6595,2.6148,1.2085,6.2137,1087.17,118.48
2015-01-21,1.2344,0.8633,1.3196,0.6615,2.5982,1.2377,6.2112,1081.94,117.86
2015-01-22,1.2347,0.8761,1.3243,0.6644,2.5644,1.237,6.2085,1081.75,117.92
2015-01-23,1.2602,0.8866,1.3374,0.6657,2.5805,1.24,6.2279,1075.75,117.8
2015-01-26,1.2604,0.8857,1.3468,0.6628,2.582,1.2409,6.2535,1079.42,118.38
2015-01-27,1.2596,0.8795,1.3403,0.6581,2.5737,1.2402,6.243,1075.31,117.62
2015-01-28,1.2542,0.8817,1.3421,0.6594,2.5825,1.2452,6.2475,1084.84,117.74
